run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache,use_gate,use_fixer_context
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,69,search,0,0,0.9,0.6,0.3,7.924,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,70,strange_sort_list,0,0,0.9,0.7,0.2,16.752,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,71,triangle_area,1,1,0.9,0.7,0.2,12.703,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,72,will_it_fly,1,1,0.6,0.6,0.0,4.015,0,0,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,73,smallest_change,0,0,0.9,0.7,0.2,26.017,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,74,total_match,1,1,0.9,0.0,0.9,13.959,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,75,is_multiply_prime,0,0,0.6,0.6,0.0,3.559,0,0,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,76,is_simple_power,0,0,0.9,0.7,0.2,10.417,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,77,iscube,0,0,0.7,0.6,0.1,9.156,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,78,hex_key,1,1,0.9,0.0,0.9,10.146,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,79,decimal_to_binary,0,0,0.7,0.0,0.7,7.097,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,80,is_happy,0,0,0.7,0.7,0.0,14.255,1,0,1,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,81,numerical_letter_grade,0,0,0.2,0.2,0.0,2.626,0,0,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,82,prime_length,1,1,0.6,0.6,0.0,3.914,0,0,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,83,starts_one_ends,1,1,0.9,0.6,0.3,8.822,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,84,solve,0,0,0.0,0.0,0.0,1.845,0,0,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,85,add,0,0,0.9,0.7,0.2,7.831,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,86,anti_shuffle,0,0,0.9,0.9,0.0,13.096,1,0,1,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,87,get_row,0,0,0.9,0.7,0.2,19.943,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,88,sort_array,1,1,0.9,0.6,0.3,15.167,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,89,encrypt,0,0,0.0,0.0,0.0,2.566,0,0,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,90,next_smallest,0,0,0.7,0.7,0.0,12.085,1,0,1,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,91,is_bored,0,0,0.6,0.6,0.0,3.276,0,0,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,92,any_int,1,1,0.7,0.6,0.1,11.983,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,93,encode,0,0,0.7,0.0,0.7,17.161,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,94,skjkasdkd,1,1,0.9,0.7,0.2,14.328,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,95,check_dict_case,0,0,0.6,0.6,0.0,3.569,0,0,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,96,count_up_to,0,0,0.9,0.6,0.3,16.141,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,97,multiply,1,1,0.7,0.7,0.0,10.363,1,0,1,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,98,count_upper,0,0,0.0,0.0,0.0,4.109,0,0,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,99,closest_integer,0,0,0.6,0.6,0.0,3.892,0,0,0,1,1,1
